Title,Author,Pub_Info,Description
"Arnoldi BoÃ³tii vindiciae, sev Apodixis apologetica, pro Hebraica veritate, contra duos nouissimos & insensissimos eius hostes, Iohannem Morinvm et Lvdovicvm Capellvm: quibus sacrosanctus textus Hebr. Ã","Boate, Arnold, 1600?-1653?.","Parisiis : impensis authoris & Th. Pvllen, BibliopolÃ¦ Londiensis, M. DC. LIII [1653].","[8], 240 p. ; 4â°."
"Bibliotheca curiosa, or, A choice collection of books, in English, Latin, French, Italian, Spanish, Greek and Hebrew, in all volumes; being lately the library of an eminent merchant (deceased,) in the city of London, and many of them collected in his travels, consisting of divinity, history, travels, voyages, mercantile affairs, civil law, physick, architecture, perspective and antiquities; particularly here are Antiquitatum Romanarum cum multis figuris, in 4 vol.","Tillotson, John, 1630-1694.","[London : s.n., 1697]","[26], 28+ p. ; 4â°."
"Bibliotheca hornecciana: or a catalogue of valuable and choice books in Hebrew, Greek, Latin, English, French, Spanish, Italian and Dutch.","Humphryes, John.","[London] : Catalogues may be had at Mr. Henchmans in Westminster-Hall, Mr. Browns at the Black-Swan without Temple-Bar, Mr. Parkers under the Royal Exchange in Cornhill, and the place of sale, [1697]","[2], 26 p. ; 4â°."
"Bibliotheca Tillotsoniana: or A catalogue of the curious library of Dr. John Tillotson late Lord Archbishop of Canterbury. Containing, a collection of Greek and Latin fathers, councils, historians (ecclesiastical and civil) philosophers, poets, orators, lexicographers, &c. all of the best editions and neatly bound. Together with the library of Mr. Seth-Mountley Buncle, late master of Mercers school, London. Consisting of Hebrew, Chaldaick, Syriack, Persick, and","Skidmore, Thomas, 1605-1684.","[London] : Catalogues are to be sold for six-pence apiece by Mr. Jos. Hindmarsh over-against the Royal-Exchange in Cornhil; Mr. James Partridge at the Post-Office near Charing-cross; (and at the place of sale.) By Mrs. Dickenson at Cambridge, and Mr. H. Clements at Oxford, 1695.","[4], 87, [1] p. ; 8â°."
"The bios pantÅn heideotos, or, [Hebrew] or the vision of eternity held forth, in answer to some antiquÃ¦ries, vvhich were given forth from Ã†gypt by one of Babels builders, a pretended minister of Christ, living in Worcestershire at Beudly, that is called Mr. Henry Osland. But the quÃ¦ries were given forth as the following papers declare, out of simplicity of heart, for satisfaction of the truth: but instead of giving a reasonable account to him that asks, he","Shaw, John, 1614-1689.","London : printed for Giles Calvert at the black spread-Eagle neer the west end of Pauls, 1657.","[4], 22 p. ; 4â°."
"The book of Psalms in metre. Close and proper to the Hebrew: smooth and pleasant for the metre: to be sung in usual and known tunes. Fitted for the ready use, and understanding of all good Christians. By William Barton Mr. of Arts.","London, William, active 1658.","London : printed by Roger Daniel, and William Du-Gard, and are to be sold by Francis Eglesfield, and Thomas Underhill, in S. Pauls Church yard, and Francis Tyton, at the three daggers near the Temple in Fleetstreet, 1654.","[36], 323, [1] p. : music ; 12â°."
"The book of Psalms in metre. Close and proper to the Hebrew: smooth and pleasant for the metre: to be sung in usuall and known tunes. Fitted for the ready use, and understanding of all good Christians. By William Barton Mr. of Arts.","London, William, active 1658.","London : printed by Roger Daniel, and William Du-Gard, and are to be sold by Frances Eglesfield, and Thomas Underhill, in S. Pauls Church yard, and Francis Tyton at the three daggers near the temple in Fleetstreet, 1654.","[18], 323, [1] p. : music. ; 12â°."
"The book of Psalms in metre. Close and proper to the Hebrew: smooth and pleasant for the metre. To be sung in usual and known tunes. Newly translated with amendments, and addition of many fresh metres. Fitted for the ready use, and understanding of all good Christians. B William Barton Mr. of Arts, as he left it finished in his life time.","Jagel, Abraham ben Hananiah dei Galicchi, active 16th century-17th century.","London : printed for the Company of Stationers, 1682.","[24], 412 p. : music ; 12â°."
"The book of Psalms in metre close and proper to the Hebrew, smooth and pleasant for the metre : be sung in usual and known tunes : newly translated with amendments, and addition of many fresh metres, fitted for the ready use and understanding of all good Christians by William Barton ... as he left it finished in his life time.","Roberts, Francis, 1609-1675.","London : Printed by F. Collins for the Company of Stationers, 1691.","[24], 412 p. 12â°."
"The book of Psalms in metre. Close and proper to the Hebrew: smooth and pleasant for the metre. To be sung in usual and known tunes. Newly translated, with amendments, and addition of many fresh metres. Fitted for the ready use and understanding of all good Christians. B William Barton Mr. of Arts, as he left it finished in his life-time.","Roberts, Francis, 1609-1675.","London : printed by Tho. Snowden, for the Company of Stationers, 1692.","[24], 192, 192-407 p. : music ; 12â°."
"The book of Psalms in metre. Close and proper to the Hebrew: smooth and pleasant for the metre. To be sung in usual and known tunes. Newly translated, with amendments, and addition of many fresh metres. Fitted for the ready use and understanding of all good Christians. B William Barton Mr. of Arts, as he left it finished in his life-time.","Roberts, Francis, 1609-1675.","London : printed by Tho. Snowden, for the Company of Stationers, 1696.","[18], 198, 193-348 [i.e. 384] p. : music ; 12â°."
"A catalogue of books in several faculties and languages, being the library of that learned and ingenious gentleman Thomas Scudamore, Esq; deceased, consisting of a curious collection of the most valuable books of divinity, law, physick, philosophy, cosmography, history, mathematicks, philology, chronology, &c. In the Hebrew, Greek, Latin, and other tongues. To be sold by John Ware, bookseller, by way of auction at Dick's Coffee-House in Skinner-row, Dublin; where","Ray, John, 1627-1705.","Dublin : [s.n.], Printed in the year, 1698.","[4], 8, [32] p. ; 4â°."
"The catalogue of the Hebrevv saints canonized by St. Paul, Heb. 11th. further explained and applied.","Pococke, Edward, 1604-1691.","Newcastle : printed by S[tephen]. B[ulkley]., 1659.","[2], 159, [1] p. ; 4â°."
"A catalogue of the most vendible books in England, orderly and alphabetically digested, under the heads of divinity, history, physick and chyrurgery, law, arithmetick, geometry, astrology, dialing, measuring land and timber, gageing, navigation, architecture, horsemanship, faulconry, merchandize, limning, military discipline, heraldry, fortification and fire-works, husbandry, gardening, romances, poems, playes, &c. With Hebrew, Greek and Latine for schools and","Pococke, Edward, 1604-1691.","London : [s.n.], printed in the year 1657.",[248] p. ; 4â°.
"A catalogue of the most vendible books in England, orderly and alphabetically digested; under the heads of divinity, history, physick, and chyrurgery, law, arithmetick, geometry, astrologie, dialling, measuring land and timber, gageing, navigation, architecture, horsmanship, faulconry, merchandize, limning, military discipline, heraldry, fortification and fire-works, husbandry, gardening, romances, poems, playes, &c. With Hebrew, Greek, and Latin books, for schools","Pococke, Edward, 1604-1691.","London : [s.n.], printed in the year 1658.",[252] p. ; 4â°.
